Subject_Code,Cluster
NT005,1
NT002,1
NT001,1
NT007,1
CT004,1
CT003,1
NT010,1
CT005,0
NT008,1
NT016,1
NT018,1
NT017,1
NT020,1
CT008,1
CT007,0
NT015,1
NT022,0
CT010,0
CT015,1
CT013,1
NT024,0
CT012,0
NT026,0
NT028,1
NT032,1
NT023,1
NT035,1
NT036,0
NT027,1
NT033,1
NT031,1
NT025,1
NT034,1
NT042,1
NT040,1
CT021,0
NT046,1
NT048,0
NT049,0
NT045,1
CT022,1
NT039,1
CT023,0
NT055,1
NT056,1
NT058,1
NT061,1
NT059,1
NT057,1
CT024,1
NT051,1
NT060,0
NT047,0
CT025,1
CT028,1
CT029,0
NT065,0
CT031,1
CT026,1
CT027,0
NT068,1
NT044,1
NT070,1
NT074,1
CT034,0
NT069,1
NT076,1
CT035,1
NT082,1
NT084,1
CT038,0
NT085,1
CT033,1
NT087,1
CT041,1
NT063,1
NT089,0
CT040,1
CT039,0
CT043,1
NT090,1
NT096,0
NT091,1
NT077,1
NT097,0
NT081,1
CT047,0
CT046,0
NT030,1
CT044,0
NT100,0
NT094,1
CT050,1
NT112,1
CT051,1
NT118,1
NT116,1
NT121,1
CT053,0
CT055,1
NT123,1
NT124,1
NT107,1
NT113,0
CT058,1
NT125,1
NT126,1
CT059,1
CT060,1
CT056,1
CT062,1
CT061,0
NT129,0
NT131,1
NT136,1
NT135,1
NT134,1
NT140,1
NT080,1
NT072,1
CT066,1
